id,genre,song_name,artist_name,audio,img
5bPMnszN3RuKvCjJK3y6j0,Devotional,Banke Bihari By Sadhana Sargam - Zee Music Devotional,Sadhana Sargam,https://p.scdn.co/mp3-preview/fd4bc75588f1a7e2327debee5ac948184589cda2?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2730454389027559dc27e18ef4d
4ECasrEmA3NeiHQpinwZ2A,Devotional,Hare Krishna Hare Rama,Jubin Nautiyal,https://p.scdn.co/mp3-preview/1dd93e81dcce2b7e0510bfb7f9083fbd9b8f0ca9?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273b675a58a9bf63f83d8533a2f
1TeB5t9ZObcp6FosmHbTWs,Devotional,Kanhaiya Re by Alka Yagnik - Zee Music Devotional,Alka Yagnik,https://p.scdn.co/mp3-preview/213c5212d431bc3c79977a2cbe92e72e1d35682d?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2734ad1fb16aec28073118c3507
0gYbXQbz4aVQi2ejbRPxFC,Devotional,Sanware (Main To Jogan Bhai),Lalitya Munshaw,https://p.scdn.co/mp3-preview/deffe39ede88dc42553edab1fe9568f0c4d63743?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273e220e503f0f561693f56f031
2J1H4rCfx989a7NLfWh3Ij,Devotional,"Radhe Radhe Barsane Wali Radhe by Alka Yagnik (From ""Radhe Radhe Barsane Wali Radhe by Alka Yagnik - Zee Music Devotional"")",Alka Yagnik,https://p.scdn.co/mp3-preview/88798ef873f2b6852b1f75f618dd2595e2628739?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273faa6b3d05cccc8906a252718
0wRmVcbLV1ZV2jkNM9mGW5,Devotional,Phir Murli Adhar Dharo Girdhari,Anuradha Paudwal,https://p.scdn.co/mp3-preview/efef11d4640b372ccad27bd1c01ed5c1a53a64c2?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273cbd1d90bd49568c40938deeb
32INN4AuvyRSPFfE4yZjAw,Devotional,Sab Krishna Ne Kiya Hai,Mohit Gaur,https://p.scdn.co/mp3-preview/1c1b31aa5151cff95f03cf0a35ca66a8c68dfd30?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273099267621359571f2bd3b9b2
2iaRvlYMC9C3GA4KN7eJqw,Devotional,Radhe Krishna Bolo,Ravindra Jain,https://p.scdn.co/mp3-preview/dde883e3d91f72afb59dd4cc6c703bd609dc3c89?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2734e620bbdadd56ddf0971244c
0sDJzZbxKtjCxD6gRHjsWx,Devotional,Shri Radhe Govinda,Vasuda Sharma,https://p.scdn.co/mp3-preview/24b793b80a65badc9b564896cbe52460b1d956ba?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2732416d622d2bdce489ba1f4df
4YbnNbl5cCef6NFoTSqvIF,Devotional,Hey Govind Hey Gopal (Live),Jagjit Singh,https://p.scdn.co/mp3-preview/47a73118d67ac36e607ca494b2965f7b98956227?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273655bbfc0ff9e322b0a99db68
3hBQR8WoETrN4T7QSCeNTA,Devotional,Joganiya,Abhimanyu-Pragya,https://p.scdn.co/mp3-preview/16ea2ee013692de32beda62597f8b7b573cc53e5?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2739335b48371b002e1887beae2
7uWG0aAbyihyDnXjb4ddvY,Devotional,Mere To Girdhar Gopal,Varsha Shrivastava,https://p.scdn.co/mp3-preview/d72084539586738c69aaa40ee013730040db72a9?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2733bdbd4303cf5fdbe3cda9d6d
5BjPcgQkjdullrnNygimjr,Devotional,O Kanha,Anup Jalota,https://p.scdn.co/mp3-preview/887a736d6823e9577dbf096fcf074d47e20affc1?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273f2473195e51bcc9a4028095b
4mgYpCXW9LXtIbXLHeOh3o,Devotional,Shri Radhe Radhe Boliye,Daler Mehndi,https://p.scdn.co/mp3-preview/d04db2a5e4160234e08c155a6a66890ff612b161?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27318d6942fdcaf25f26670f618
0joPhgT6n3Wr7mTKo8egej,Devotional,Madhur Krishna,Prajakta Shukre,https://p.scdn.co/mp3-preview/7f11b61e5d9acf78ae26f4030c2816c92d609330?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a99a1020b6878e736ee9816b
4Exqqo83Y40we0SIFVJ2iY,Devotional,Mann Mero Shyam,Saurav Mishra,https://p.scdn.co/mp3-preview/dd5a89fb10530f2bffda502552bc3e78bb316221?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ae9e9a8242636ebe6487620e
2zsn8AXUvjht5bnERZ4CV9,Devotional,Manhariya Bansiwala,Lalitya Munshaw,https://p.scdn.co/mp3-preview/18817aaa755d60c6d153fff62f9ffc86280572b2?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27337aa21ac276f12ebde56dc15
7p1jRpKUmhmaf1FB1JRQho,Devotional,Yashomati Maiya,Sadhana Sargam,https://p.scdn.co/mp3-preview/f4e63140d3c418e38d0ea412d07bbf5b73758e2b?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27324fc91014b98283c95ebc0cc
1Xp9XVs6Lp2p0Ux75LPBWI,Devotional,Mera Aapki Kripa Se,Master Saleem,https://p.scdn.co/mp3-preview/a5e28db86d16d7621b61ff7b18e1527178641eb5?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273543e73447898fedaa893cc08
7oHwTvOxLPUfLe7em6pLFK,Devotional,Panghat,Manoj Desai,https://p.scdn.co/mp3-preview/74d0275a0895f099ff88958ab5d16f4f0cbd1f56?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273cd99dd51b2c4f838aa3beba0
4fSn7k6TRdrH7696rmEYDf,Devotional,Itni Toh Daya Rakhna,Udit Narayan,https://p.scdn.co/mp3-preview/cb93fa37565c392d1362e0166c840e0645cce221?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ef8804f3df9f1664c4c80e4e
2LvvNsJKCyB14ORqYcSUSF,Devotional,Shri Krishna Govind Hare Murari,Mame Khan,https://p.scdn.co/mp3-preview/8a91711f4887bbe7e82811cc04e4d1cb63fb9293?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273368364dde877bf76e686deb8
2aNCrdzCbgFIkxs0qul8dT,Devotional,"Achyutam Keshavam by Alka Yagnik (From ""Achyutam Keshavam by Alka Yagnik - Zee Music Devotional"")",Alka Yagnik,https://p.scdn.co/mp3-preview/d4f6f57f0d1dab65963de385cca2849c153066ef?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2732f881b6337808fb81b1cbc17
73GVppku1MaclUF0Y6o1Jo,Devotional,Hare Krishna Hare,Palak Muchhal,https://p.scdn.co/mp3-preview/ca296717ad455d75b45bdcb68adf289c7469fdcf?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273ebb227f375ba5afc61ee5f3c
5lERnizPkCZnoImtWg3rkM,Devotional,Murli Wale Krishna Kanhaiya,Alka Yagnik,https://p.scdn.co/mp3-preview/f873b7e74f7504e84fb1f71b1540bc65bae051f3?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273cfab1526cac211489d14e2a2
2Ce29FplMOXQ64Kxt03OF8,Devotional,Krishna Arati,Bhagavan Das,https://p.scdn.co/mp3-preview/ea5f5d29b0ca8b3e94c7cb32192c065eec8970f0?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273a635072bd77768837e6e5f07
67KzaALOCkFAndViJpUCoR,Devotional,Om Jai Jagdish Hare,Various Artists,https://p.scdn.co/mp3-preview/1abb0119f9ea03a57aada4d490d405c19efd2867?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273532e9d918a7ff69b9f797ba1
0ENBZtxEXHFVOoHiQ9Y6NO,Devotional,Sri Krishna Arati,Bhagavan Das,https://p.scdn.co/mp3-preview/599b9be6c29c0e32dc1f474e901d2543496a9c97?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2736485b413583200decd3a185d
58SIEtTjWErr0yEXVBKxvd,Devotional,Shri Krishna Govind Hare Murari,Jubin Nautiyal,https://p.scdn.co/mp3-preview/338efc06d54aece745895f243f17b6ac5a3de218?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273671688fecb68803a14be89ad
4I0jiZGTacxdMdccZ8tji2,Devotional,Hari Bol,Jagjit Singh,https://p.scdn.co/mp3-preview/976bb0e5e617085110f1afa3e4cdba41ed6d417f?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27324a17aea9bcf3f0d9025a160
5eAr13l8ZYZMDr4NkvS8Md,Devotional,Kahna Ki Pyare Radhe,Gprince,https://p.scdn.co/mp3-preview/2115c3fa38ca02fc82867782397b724bf2961905?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2731b20bd03b128d4c96a0ee01f
4fiPlyyA2NNUP4MPb2DgCh,Devotional,Achyutam Keshavam Krishna Damodaram,Suresh Wadkar,https://p.scdn.co/mp3-preview/8474d22cc32297b9b7c8562ddd9d630dc4d37bb3?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b27373d1874f54e01aba9b918893
4s9dpbGAyMi8W98sAYGgHg,Devotional,Hare Krishna Hare Rama,Sonu Nigam,https://p.scdn.co/mp3-preview/5382d9087d33ed1aa6dfb4bda8b3b37020ebc255?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273df528318f46520b55ac44c2f
4ypGAh6YHNsx5uT3shWtmi,Devotional,Main Nahi Makhan Khayo,Anup Jalota,https://p.scdn.co/mp3-preview/0da6d460d47747b1a0372b7a01422fcac274f51f?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273498ece428bd763b65722d6a0
6BZQsmP2KByv2yNDwSDlvp,Devotional,Aarti Kunj Bihari Ki,Vandana Bhardwaj,https://p.scdn.co/mp3-preview/2dac1cdb69ec59f0a663c1b410d0bda842a2ec6f?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b2739bc4d67192532d4117e86cba
1RpaECyCqvH2dGiQZUqpeg,Devotional,Hare Krishan Hare Krishan,Anuradha Paudwal,https://p.scdn.co/mp3-preview/1a9cf7b67e6a8dac1c63a5aff26fa63ef0aa2aa1?cid=6d57f32dcf244e299783a02fe4ce7997,https://i.scdn.co/image/ab67616d0000b273189639034cbc7a2d94541e06
